dh,nsow,tc_mean,tc_std,tc_std_pct,bcr_mean,bcr_std,bcr_std_pct,rel_mean,rel_std,rel_std_pct
0,100,34922895.93417474,94216590.73326564,269.7845874833864,,,,0.08000434228331196,0.01125787295282426,14.07157740633352
0,1000,4881385.002438722,1454126.5960196694,29.78922161012076,,,,0.07802223014901231,0.003468522208960819,4.445556352768169
0,10000,4870305.508941265,863543.6318201346,17.730789787925577,,,,0.08018025415961919,0.0015648501382536228,1.9516652256282334
0,100000,5020547.080068417,368134.7386222977,7.332562223822051,,,,0.08013611693280216,0.000450887564704119,0.5626521248617636
0,500000,5158953.625085808,332892.91187511984,6.452721541368438,,,,0.08005720425175042,0.00016673438011470892,0.2082690517025685
3,100,22427111.02121928,61816975.6355638,275.63503643904926,89.4438186145412,229.3393048808527,256.40598582803375,0.24515640929188848,0.0231897410699192,9.459161658020939
3,1000,2745876.4179664096,786777.7636791142,28.6530653211917,16.114899560974717,4.848387268498168,30.08636355537367,0.24219106739678292,0.00563578547324897,2.3269997253927754
3,10000,2746495.5025184858,462705.95021318813,16.84714028436949,16.032098286603528,2.864432937228307,17.866862378344052,0.24534798458823723,0.002424785443715721,0.9883046106065193
3,100000,2856560.7187850336,218688.1206572844,7.655644048424006,16.31646219544455,1.0629161421055795,6.514378726059493,0.24516821711373957,0.0007933474032211071,0.32359308745678633
3,500000,2932871.849043579,193347.0990538994,6.592415523267771,16.755966847451816,1.0033911010314653,5.9882614364569315,0.24500543564458285,0.0003857976270231449,0.15746492562834494
9,100,9656234.564713288,27465969.37592361,284.4376779774211,165.20784668526335,433.83837570252814,262.60155580202644,0.6397643434834099,0.031170414937953507,4.872171332374638
9,1000,935730.9210083205,251387.3672338005,26.865347888996943,26.64277689887829,8.08204392122682,30.334840665828228,0.6426006596565657,0.0054341990694907515,0.8456572503979422
9,10000,953247.87742815,133879.62007021086,14.044575733167775,26.45692878087421,4.7994024681688305,18.140436888647226,0.6441695556912176,0.002209479023117752,0.3429964989181924
9,100000,1012114.8805605154,80605.01754806217,7.964018620437891,27.050771427230142,1.8778969211125183,6.94211965882115,0.6434010887845767,0.0010247926520008522,0.15927741961654854
9,500000,1032534.4701531694,68056.17643741611,6.591177186299693,27.817567784055633,1.751724245763824,6.297186940865012,0.6432684317172119,0.00047847648770075503,0.07438208749393421
14,100,5111783.554427108,14535337.6044999,284.3496296299838,156.77735475648032,416.3914502260082,265.59412924958593,0.8264128492031331,0.02043993517219263,2.4733322082179385
14,1000,507361.29910520057,113833.60080988647,22.436398087644292,23.85637092194974,7.202949904789805,30.19298253014051,0.8298912336972718,0.005450459280225692,0.6567679063126378
14,10000,523909.94084343675,52423.61166839277,10.006225799799978,23.71200066937257,4.294990764532381,18.113152173110276,0.83006848795781,0.0014816535728205903,0.1784977498020499
14,100000,559383.3827785321,38537.177192558425,6.889224524536126,24.311719168573365,1.7313351716381638,7.1214016566799625,0.8292349589180026,0.0008128241819874521,0.09802097382001797
14,500000,565392.9631943845,31755.83636267207,5.616595612236915,25.00355678471769,1.5964084448204745,6.3847254155305135,0.8291414141040953,0.0003453636450054899,0.04165316544689335
