Parameter_1,Parameter_2,S2,S2_conf
mu_u,sigma_u,0.00206594082581045,0.009902383113037469
mu_u,xi_u,0.001945066262658883,0.009361195483384663
mu_u,dr_u,0.0033456677912452083,0.009683411096146658
mu_u,lt_u,0.0027355075205744983,0.01057348248115956
mu_u,dd_err,0.002736984589695216,0.008938094590918046
mu_u,hv_rate,0.0022807850194135892,0.012085547414545868
mu_u,b1,0.005405606346408749,0.010656273732727746
mu_u,b2,0.0030672496730853455,0.009140857694056983
sigma_u,xi_u,-0.018237771700439692,0.021504085884837213
sigma_u,dr_u,-0.01810302533544559,0.02221034758324095
sigma_u,lt_u,-0.019620011531365056,0.03121081800379739
sigma_u,dd_err,-0.01563765863143389,0.020825047038904084
sigma_u,hv_rate,-0.0033710607387945346,0.029878673831977794
sigma_u,b1,-0.008906945171280337,0.026452632016309516
sigma_u,b2,-0.020989784356265716,0.022945308743165797
xi_u,dr_u,0.003671923760807237,0.03700311543719921
xi_u,lt_u,0.024789017176804984,0.049477454224149564
xi_u,dd_err,0.011971686811345571,0.040749747363433314
xi_u,hv_rate,0.028784530271821318,0.04031309502004598
xi_u,b1,0.011322623089572915,0.039765164033095164
xi_u,b2,0.007192548137322556,0.04247554968256594
dr_u,lt_u,0.0029386727681976477,0.053374674454554
dr_u,dd_err,0.004325444372943384,0.024831932305515978
dr_u,hv_rate,0.028936300544170124,0.06519316634258297
dr_u,b1,-0.0020721869046454178,0.02647127199948394
dr_u,b2,-0.001912532852364153,0.02806758685501738
lt_u,dd_err,-0.09877263739237861,0.11922953306166885
lt_u,hv_rate,-0.04739149816515692,0.13833018914377923
lt_u,b1,-0.06347046737097833,0.15188856780554727
lt_u,b2,-0.1163989533785757,0.11690853079404437
dd_err,hv_rate,-0.008156092106967994,0.026298071524329975
dd_err,b1,-0.0037122641467778814,0.026371218184621594
dd_err,b2,-0.007694250742456547,0.02576285969957093
hv_rate,b1,0.039491904717686495,0.0768715491051025
hv_rate,b2,0.011944577801483162,0.05135368573361835
b1,b2,-0.01436412967894786,0.03987152029623954
